target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/76070.c,true,40,3 ,test2/ARC002/1/AC/25726.c::main ,33484 ,[0 1 ],49530 ,[380 380 380 186 186 ],207,14567,5051,402,9100,7793,262,1045,2
test2/ARC002/1/WA/7671.c,true,40,3 ,test2/ARC002/1/AC/7272.c::main ,44500 ,[0 1 ],49130 ,[380 380 380 186 186 186 186 ],58,11710,5035,365,6295,5680,242,373,2
test2/ARC002/1/WA/7698.c,true,40,3 ,test2/ARC002/1/AC/7618.c::main ,29499 ,[0 2 ],49787 ,[380 380 380 380 380 380 186 186 186 186 ],294,14942,5133,422,9373,7770,245,1358,2
test2/ARC002/1/WA/7713.c,true,40,3 ,test2/ARC002/1/AC/7240.c::main ,10530 ,[0 1 ],49106 ,[380 186 380 380 186 186 186 ],38,11700,5114,425,6148,5595,250,303,2
test2/ARC002/1/WA/7718.c,true,40,3 3 ,test2/ARC002/1/AC/1569158.c::main test2/ARC002/1/AC/736693.c::main ,45281 20418 ,[0 1 ][0 2 ],49628 52038 ,[380 221 380 221 380 221 221 ][380 186 380 380 186 186 186 ],1221,15959,5026,430,10466,4500,525,5441,2
test2/ARC002/1/WA/77410.c,true,40,3 3 ,test2/ARC002/1/AC/22147693.c::main test2/ARC002/1/AC/1894696.c::main ,42747 36769 ,[0 6 ][0 4 ],49362 52168 ,[382 186 382 186 382 186 186 ][381 ],1253,23495,4929,484,18050,10115,541,7394,2
test2/ARC002/1/WA/77411.c,true,40,3 ,test2/ARC002/1/AC/19535399.c::main ,21589 ,[0 4 0 0 ],49927 ,[186 ],418,17642,4887,475,12266,10087,218,1961,2
test2/ARC002/1/WA/7883.c,true,40,3 ,test2/ARC002/1/AC/20267.c::main ,32144 ,[0 2 ],49784 ,[380 380 380 186 186 186 186 ],293,15368,5211,399,9739,7800,255,1684,2
test2/ARC002/1/WA/7894.c,true,40,3 3 ,test2/ARC002/1/AC/7286.c::main test2/ARC002/1/AC/21916623.c::main ,2698 43163 ,[0 1 ][0 2 ],51316 52611 ,[221 380 ][380 186 380 186 380 186 186 ],1409,16135,4820,406,10889,4527,512,5850,2
test2/ARC002/1/WA/7974.c,true,40,3 ,test2/ARC002/1/AC/32973.c::main ,9552 ,[0 1 ],49188 ,[380 186 380 186 380 186 186 ],88,9764,5250,385,4117,3395,226,496,2
