target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/21460715.c,true,40,3 ,test2/ARC002/1/AC/90254.c::main ,34267 ,[0 2 ],55584 ,[380 380 380 186 186 ],2573,38313,5132,432,32711,9945,844,21922,0
test2/ARC002/1/WA/21460730.c,true,40,3 ,test2/ARC002/1/AC/9832.c::main ,45841 ,[0 2 ],63718 ,[380 380 380 186 186 ],5629,61527,4700,447,56295,9914,1848,44533,0
test2/ARC002/1/WA/21460789.c,true,40,3 3 ,test2/ARC002/1/AC/2789274.c::main test2/ARC002/1/AC/3519469.c::main ,32870 14444 ,[0 2 ][0 2 ],68087 72742 ,[186 380 ][380 186 380 186 380 186 186 ],9000,79670,4752,442,74376,9913,2554,61909,0
test2/ARC002/1/WA/21460851.c,true,40,3 ,test2/ARC002/1/AC/2253328.c::main ,40814 ,[0 2 ],51116 ,[380 381 380 186 186 ],806,22031,4899,457,16652,9925,214,6513,0
test2/ARC002/1/WA/21460910.c,true,40,3 ,test2/ARC002/1/AC/15204449.c::main ,17457 ,[0 5 ],49240 ,[186 381 380 380 ],91,12746,4898,455,7379,6649,198,532,0
test2/ARC002/1/WA/21460968.c,true,40,3 ,test2/ARC002/1/AC/3673534.c::main ,885 ,[0 5 ],50189 ,[381 186 186 ],511,18380,4776,450,13130,6654,195,6281,0
test2/ARC002/1/WA/21460993.c,true,40,3 3 ,test2/ARC002/1/AC/140176.c::main test2/ARC002/1/AC/6929.c::main ,41785 26542 ,[0 0 ][0 5 ],52580 54189 ,[221 ][302 380 380 380 ],2279,35679,5378,438,29812,6645,824,22343,0
test2/ARC002/1/WA/21461011.c,true,40,3 ,test2/ARC002/1/AC/407245.c::main ,5173 ,[0 5 ],52513 ,[186 381 381 381 ],1490,25255,4843,438,19940,6671,466,12803,0
test2/ARC002/1/WA/21461042.c,true,40,3 3 ,test2/ARC002/1/AC/8093.c::main test2/ARC002/1/AC/334473.c::main ,11071 46271 ,[0 1 ][0 2 ],50677 53339 ,[221 380 ][380 380 380 186 186 186 186 ],1544,25591,4884,377,20301,7733,523,12045,0
test2/ARC002/1/WA/21461058.c,true,40,3 ,test2/ARC002/1/AC/1332763.c::main ,30051 ,[0 1 ],49173 ,[302 380 380 380 ],67,13943,5098,398,8435,7727,241,467,0
test2/ARC002/1/WA/21866.c,true,40,3 ,test2/ARC002/1/AC/24805.c::main ,45522 ,[0 1 ],50158 ,[380 380 380 186 186 ],426,17860,4925,371,12548,7736,238,4574,0
test2/ARC002/1/WA/22146304.c,true,40,3 ,test2/ARC002/1/AC/82646.c::main ,29632 ,[0 2 ],49959 ,[186 ],338,14739,4899,418,9411,7678,251,1482,0
test2/ARC002/1/WA/22146565.c,true,40,3 ,test2/ARC002/1/AC/7581.c::main ,10413 ,[0 1 ],49734 ,[186 ],293,16073,4905,443,10706,8787,253,1666,0
test2/ARC002/1/WA/22147650.c,true,40,3 3 ,test2/ARC002/1/AC/21910.c::main test2/ARC002/1/AC/4390503.c::main ,25363 5393 ,[0 1 ][0 0 0 0 ],49173 52489 ,[380 186 380 186 380 186 186 ][380 221 221 ],1175,23628,5145,361,18102,8843,583,8676,0
test2/ARC002/1/WA/2253326.c,true,40,3 ,test2/ARC002/1/AC/6929.c::main ,27098 ,[0 1 ],51376 ,[302 1532 1532 1532 ],788,17770,5294,389,12067,8502,209,3356,0
test2/ARC002/1/WA/25075.c,true,40,3 ,test2/ARC002/1/AC/10201195.c::main ,7763 ,[0 3 ],50448 ,[380 380 380 186 186 ],616,16606,4900,417,11267,5555,208,5504,0
