target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC272/A/WA/35469736.c,target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC265/A/WA/34521692.c,false,10000,58254,57736,false,10000,120480,97914,false,10000,164084,132056,false,10000,136912,104910,false,10000,161280,129543,
test/ABC265/A/WA/34521845.c,false,10000,54599,54059,false,10000,137245,114607,false,10000,163083,131611,false,10000,142824,111007,false,10000,153250,121569,
test/ABC265/A/WA/34521860.c,false,10000,53868,53364,false,10000,116487,93577,false,10000,162978,131061,false,10000,159085,127264,false,10000,146151,114453,
test/ABC265/A/WA/34521941.c,false,10000,54255,53789,false,10000,127102,104380,false,10000,140897,109086,false,10000,139494,107857,false,10000,171887,140073,
test/ABC265/A/WA/34528027.c,false,10000,170934,170375,false,10000,204564,181868,false,10000,228138,195380,false,10000,232206,199614,false,10000,246152,213474,
test/ABC265/A/WA/34634924.c,false,10000,117509,116894,false,10000,257997,235056,false,10000,280197,247325,false,10000,280503,247000,false,10000,280225,247410,
test/ABC265/A/WA/34720117.c,false,10000,323893,322047,false,10000,562686,539289,false,10000,585228,551895,false,10000,621094,588263,false,10000,615837,583097,
test/ABC265/A/WA/34720434.c,false,10000,308516,306576,false,10000,528978,505816,false,10000,566754,534277,false,10000,590578,557856,false,10000,581038,548262,
test/ABC265/A/WA/34845370.c,false,10000,57495,56992,false,10000,138590,116003,false,10000,184970,152731,false,10000,167637,135644,false,10000,159935,128041,
test/ABC265/A/WA/34866071.c,
test/ABC265/A/WA/34878551.c,false,10000,94652,93809,false,10000,374685,351731,false,10000,398104,363197,false,10000,419052,384135,false,10000,419871,384704,
test/ABC265/A/WA/35027644.c,false,10000,60637,60124,false,10000,154493,131689,false,10000,169810,137717,false,10000,178642,146685,false,10000,165267,132906,
test/ABC265/A/WA/35186597.c,false,10000,57688,57186,false,10000,126506,103706,false,10000,159593,127748,false,10000,152263,120552,false,10000,129284,97565,
test/ABC265/A/WA/35186650.c,false,10000,56535,56039,false,10000,131917,109205,false,10000,154495,122689,false,10000,141360,109932,false,10000,160831,129451,
test/ABC265/A/WA/35403577.c,false,10000,63171,62678,false,10000,150247,127530,false,10000,134670,103017,false,10000,116981,85608,false,10000,132249,100860,
test/ABC265/A/WA/35403587.c,false,10000,62456,61963,false,10000,133294,110680,false,10000,141966,110522,false,10000,171222,139637,false,10000,139356,107900,
test/ABC265/A/WA/35403674.c,false,10000,108976,106124,false,10000,2363273,2339406,false,10000,2427532,2383259,false,10000,2465771,2421082,false,10000,2536214,2491721,
test/ABC265/A/WA/35414151.c,false,10000,63084,62602,false,10000,132179,109462,false,10000,139889,108554,false,10000,152060,120509,false,10000,137068,105304,
test/ABC265/A/WA/35416554.c,false,10000,63894,63382,false,10000,149815,127242,false,10000,178039,146497,false,10000,181508,149818,false,10000,161908,130212,
test/ABC265/A/WA/35417297.c,false,10000,64193,63643,false,10000,152190,129680,false,10000,174038,141956,false,10000,165052,132986,false,10000,162773,130957,
test/ABC266/A/WA/34369922.c,
test/ABC266/A/WA/34371068.c,false,10000,40875,40299,false,10000,64263,41543,false,10000,71841,40605,true,5088,60491,29153,true,5157,60514,29262,
test/ABC266/A/WA/34371689.c,false,10000,64132,62263,false,10000,169677,146129,false,10000,197785,165267,false,10000,212776,180256,false,10000,229845,197569,
test/ABC266/A/WA/34374151.c,false,10000,64602,63505,false,10000,109215,86225,false,10000,128747,96692,false,10000,157804,125898,false,10000,161887,129813,
